City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Garowe,SO,77.63,overcast clouds,8.4054,48.4845,Curubo Hotel
292,Grand Gaube,MU,82.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Jangipur,IN,88.02,overcast clouds,24.4667,88.0667,KICHUKKHON LODGE
308,Daru,PG,82.02,overcast clouds,-9.0763,143.2092,Daru Lodge
314,San-Pedro,CI,76.3,overcast clouds,4.7485,-6.6363,Hotel Maria
317,Pekalongan,ID,78.58,light rain,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
318,Kimbe,PG,84.69,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
325,Nueva Gerona,CU,77.65,scattered clouds,21.8833,-82.8,Villa Gerona
332,Trincomalee,LK,84.76,broken clouds,8.5711,81.2335,Welcombe Hotel
336,Namibe,AO,77.11,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
338,Dingle,PH,88.72,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
339,Cockburn Town,TC,78.06,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
342,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
351,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
352,Kalmunai,LK,86.79,scattered clouds,7.4167,81.8167,VS Villa
353,Amahai,ID,86.05,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
358,Ginda,IN,79.77,overcast clouds,30.6945,78.4932,Sunil Bisht
368,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
374,Mareeba,AU,75.43,light rain,-17.0,145.4333,Trinity Plains Tourist Park
381,Touros,BR,76.08,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
398,Saint-Joseph,RE,80.2,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
403,Bubaque,GW,75.33,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
404,Kahului,US,75.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
410,Umm Lajj,SA,75.27,clear sky,25.0213,37.2685,Moon light Furnished Units
412,Garmsar,IR,80.08,broken clouds,35.2182,52.3409,آذین فوم
417,Bandarbeyla,SO,82.89,few clouds,9.4942,50.8122,JABIR HOTEL
418,Gambela,ET,77.29,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
423,Shaoyang,CN,76.87,overcast clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
425,Cayenne,GF,78.1,mist,4.9333,-52.3333,Hôtel Le Dronmi
433,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
435,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
443,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
444,Puqi,CN,80.92,clear sky,29.7167,113.8833,Ramada Plaza Chibi
449,Tezu,IN,86.38,clear sky,27.9167,96.1667,Circuit House
450,Malakal,SS,83.17,broken clouds,9.5334,31.6605,Nile Palace Hotel
455,Pochutla,MX,78.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
457,Shanghai,CN,77.94,clear sky,31.2222,121.4581,Swissotel Grand Shanghai
458,Clemencia,CO,78.17,overcast clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
462,Suba,PH,84.06,broken clouds,10.8438,121.0102,Jarnchi Pension House
466,Saint-Paul,RE,81.73,broken clouds,-21.0096,55.2707,Boucan Canot
467,Salina Cruz,MX,80.74,clear sky,16.1667,-95.2,Amerik HOTEL
471,Mombetsu,JP,75.22,clear sky,44.3525,143.3525,Okhotsk Palace Hotel
472,Bilma,NE,77.85,clear sky,18.6853,12.9164,Expeditions Ténére voyages
474,Dharan,NP,87.08,clear sky,26.8125,87.2835,Hotel Kanchanjunga
475,Pecos,US,79.63,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
476,Bengkulu,ID,85.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
479,Grenville,GD,78.85,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
480,Nabire,ID,85.53,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
484,Saint-Pierre,RE,81.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
487,Pemangkat,ID,85.71,scattered clouds,1.1667,108.9667,Ramah Kost KITA
489,Waingapu,ID,85.87,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
490,Papara,BR,81.0,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
494,Salinopolis,BR,78.4,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
496,Green Valley,US,76.15,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
497,Geraldton,AU,86.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
501,Coyah,GN,79.75,broken clouds,9.75,-13.4167,Motel Canal+
502,Hobyo,SO,83.95,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
504,Hambantota,LK,86.34,broken clouds,6.1241,81.1185,Bungalow 63
511,Kieta,PG,84.24,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
517,Passi,PH,87.82,overcast clouds,11.15,122.65,Garden Pavillion
530,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
542,Acapulco,MX,78.94,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
544,Tres Picos,MX,79.9,clear sky,15.8667,-93.5333,Tres picos Chiapas
555,Sampit,ID,83.73,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
564,San Policarpo,PH,83.12,overcast clouds,12.1791,125.5072,Agapita M. Nicart
565,Bagotville,AU,75.22,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
566,Nizwa,OM,86.58,broken clouds,22.9333,57.5333,Orient Apartments
575,Biak,ID,84.4,broken clouds,-0.9131,122.8766,Penginapan Kim
576,Ugoofaaru,MV,84.06,broken clouds,5.6667,73.0,Ungoofaaru Inn
577,Nisia Floresta,BR,77.38,light rain,-6.0911,-35.2086,Rancho Crepusculo
578,Bintulu,MY,88.21,scattered clouds,3.1667,113.0333,900 Boutique INN
580,North Las Vegas,US,80.02,clear sky,36.1989,-115.1175,Lucky Club Hotel & Casino
583,Gboko,NG,77.58,broken clouds,7.3179,8.9951,Mavillah Apartment and Suites
591,Ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
593,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
594,Ndioum,SN,82.69,few clouds,16.5129,-14.6471,l'hôtel samassa
597,Nago,JP,84.63,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
599,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
600,Tecoanapa,MX,79.23,clear sky,16.5167,-98.75,Hotel Manglares
603,Don Sak,TH,89.94,overcast clouds,9.3168,99.6918,Sea Sun Moon Hostel
607,Morondava,MG,78.94,clear sky,-20.2833,44.2833,La Case Bambou
612,Peterongan,ID,85.37,broken clouds,-7.5394,112.2792,Selaras Kost Syariah
635,Male,MV,87.75,broken clouds,4.1748,73.5089,Hotel Octave Maldives
639,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
650,Narsingdi,BD,82.42,scattered clouds,23.9208,90.7181,Abdul Kadir Mollah City College Boys Hostel
654,Gurupi,BR,76.24,scattered clouds,-11.7292,-49.0686,Via Norte Hotel
657,Lucena,PH,87.1,scattered clouds,13.9314,121.6172,The Star Garden Tower Hotel
663,Coruripe,BR,77.11,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
665,Tagusao,PH,87.12,light rain,9.1924,117.8141,Green Villa beach resort
667,Payakumbuh,ID,88.0,overcast clouds,-0.2202,100.6308,Dalimo Homestay
671,Dicabisagan,PH,84.04,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
678,Thanh Hoa,VN,80.49,broken clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
682,Kokoda,PG,81.36,overcast clouds,-8.8785,147.7407,Daito Guest House
683,Lingao,CN,80.64,few clouds,19.9103,109.6859,Lingao Ditai Inn
686,Tonj,SS,77.18,broken clouds,7.2737,28.6822,Lakan Hotel
694,Mae Hong Son,TH,84.34,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
695,Pamekasan,ID,84.04,broken clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
701,Metro,ID,82.94,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
705,Sungaipenuh,ID,83.1,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
706,Samarai,PG,84.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
707,Sur,OM,89.71,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
709,Lumut,MY,87.82,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
