,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Santa Maria,BR,-29.6842,-53.8069,59.41,91,49,3.89,scattered clouds
80,Gilgit,PK,35.9221,74.3087,64.58,50,100,4.14,overcast clouds
81,Chokurdakh,RU,70.6333,147.9167,21.78,93,42,4.83,scattered clouds
82,Hofn,IS,64.2539,-15.2082,45.3,96,100,9.22,overcast clouds
83,Butaritari,KI,3.0707,172.7902,81.32,80,79,14.54,light rain
84,Los Algarrobos,PA,8.5,-82.4333,74.1,86,51,2.28,broken clouds
85,Lodwar,KE,3.1191,35.5973,81.75,59,99,16.73,light rain
86,Lozova,UA,48.8894,36.3176,41.56,78,8,10.87,clear sky
87,Gat,IL,31.61,34.7642,58.82,100,1,6.76,clear sky
88,Misratah,LY,32.3754,15.0925,68.34,40,100,24.61,overcast clouds
89,Huilong,CN,31.8111,121.655,66.6,72,24,9.71,few clouds
90,Bundaberg,AU,-24.85,152.35,83.21,66,40,10.36,scattered clouds
91,Ponta Delgada,PT,37.7333,-25.6667,57.92,77,75,6.91,broken clouds
92,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.65,90,0,5.59,clear sky
93,Pontes E Lacerda,BR,-15.2261,-59.3353,68.41,86,85,2.46,overcast clouds
94,Deputatskiy,RU,69.3,139.9,23.38,79,87,3.11,overcast clouds
95,Beringovskiy,RU,63.05,179.3167,30.0,90,100,3.27,overcast clouds
96,Champerico,GT,14.3,-91.9167,82.99,68,3,1.7,clear sky
97,Port Alfred,ZA,-33.5906,26.891,72.72,48,99,9.19,overcast clouds
98,Dunedin,NZ,-45.8742,170.5036,56.8,92,100,11.01,overcast clouds
99,Solnechnyy,RU,50.7214,136.6319,40.37,84,100,5.93,overcast clouds
100,Leshukonskoye,RU,64.8989,45.7622,27.75,77,30,2.33,scattered clouds
101,Tasiilaq,GL,65.6145,-37.6368,32.16,92,87,3.06,overcast clouds
102,Castro,BR,-24.7911,-50.0119,53.62,91,0,3.24,clear sky
103,San Isidro,PE,-12.1167,-77.05,73.02,71,0,8.05,clear sky
104,Longyearbyen,SJ,78.2186,15.6401,28.24,74,20,3.44,few clouds
105,Valsad,IN,20.6333,72.9333,93.42,31,50,12.28,scattered clouds
106,Hobart,AU,-42.8794,147.3294,58.01,51,40,12.66,scattered clouds
107,Poum,NC,-20.2333,164.0167,78.24,70,25,17.38,scattered clouds
108,Arraial Do Cabo,BR,-22.9661,-42.0278,72.46,79,2,10.92,clear sky
